ISBN13,Title,Author,author_id,Cover,,,,,,
9780881849806,The Mind Cage,A E Van Vogt,1,http://www.openisbn.com/cover/0881849804_72.jpg,,,,,,
9780861122486,Open And Say,A First Book,2,http://www.openisbn.com/cover/0861122488_72.jpg,,,,,,
9780571218615,Dart,A Oswald,3,http://www.openisbn.com/cover/057121861X_72.jpg,,,,,,
9780061057793,DRAGON and UNICORN MM,A A Attanasio,4,http://www.openisbn.com/cover/0061057797_72.jpg,,,,,,
9780061000119,Wyvern,A A Attanasio,4,http://www.openisbn.com/cover/0061000116_72.jpg,,,,,,
9781405200677,Tigger's Little Book Of Diet And Exercise (Wisdom Of Pooh),A A Milne,5,http://www.openisbn.com/cover/1405200677_72.jpg,,,,,,
9780416196771,Eeyore's Little Book Of Gloom (Wisdom Of Pooh),A A Milne,5,http://www.openisbn.com/cover/0416196772_72.jpg,,,,,,
9780525463313,Pooh's Little Book Of Feng Shui,A A Milne,5,,,,,,,
9780525462323,Pooh (Giant Board Book),A A Milne,5,,,,,,,
9780525483359,Winnie Ille Pu (Latin Edition),A A Milne,5,,,,,,,
9780451155580,Once On A Time (Signet),A A Milne,5,http://www.openisbn.com/cover/0451155580_72.jpg,,,,,,
9780140361216,Winnie-the-Pooh (Pooh Original Edition),A A Milne,5,,,,,,,
9780717288236,How To Catch A Heffalump (Disney's Pooh) (Disney's Wonderful World Of Reading),A A Milne,5,,,,,,,
9780525444442,The House At Pooh Corner (Pooh Original Edition),A A Milne,5,,,,,,,
9780525444459,When We Were Very Young (Pooh Original Edition),A A Milne,5,,,,,,,
9780525444466,Now We Are Six (Pooh Original Edition),A A Milne,5,,,,,,,
9780140361223,The House At Pooh Corner (Pooh Original Edition),A A Milne,5,,,,,,,
9780525447092,Eeyore Has A Birthday,A A Milne,5,http://www.openisbn.com/cover/0525447091_72.jpg,,,,,,
9780440464853,Now We Are Six,A A Milne,5,http://www.openisbn.com/cover/0440464854_72.jpg,,,,,,
9780440495710,Winnie The Pooh,A A Milne,5,http://www.openisbn.com/cover/0440495717_72.jpg,,,,,,
9780312104450,Critters: Adventures In Wildest Suburbia,A B C Whipple,6,,,,,,,
9780553203639,The Big Sky,A B Guthrie Jr,7,http://www.openisbn.com/cover/0553203630_72.jpg,,,,,,
9780892132706,The Journey Of Self-Discovery,A C Bhaktivedanta Swami Prabhupada,8,http://www.openisbn.com/cover/0892132701_72.jpg,,,,,,
9780912776415,Beyond Birth And Death,A C Bhaktivedanta Swami Prabhupada,8,http://www.openisbn.com/cover/0912776412_72.jpg,,,,,,
9780892132928,The Quest For Enlightenment,A C Bhaktivedanta Swami Prabhupada,8,http://www.openisbn.com/cover/0892132922_72.jpg,,,,,,
9780892133260,Dharma: The Way Of Transcendence,A C Bhaktivedanta Swami Prabhupada,8,http://www.openisbn.com/cover/0892133260_72.jpg,,,,,,
9780892131013,The Science Of Self-Realization,A C Bhaktivedanta Swami Prabhupada,8,http://www.openisbn.com/cover/0892131012_72.jpg,,,,,,
9780892131181,Chant And Be Happy: The Power Of Mantra Meditation (Contemporary Vedic Library Series),A C Bhaktivedanta Swami Prabhupada,8,http://www.openisbn.com/cover/0892131187_72.jpg,,,,,,
9780892131143,Coming Back: The Science Of Reincarnation,A C Bhaktivedanta Swami Prabhupada,8,http://www.openisbn.com/cover/0892131144_72.jpg,,,,,,
9780446602297,Alien: Resurrection - The Novelization,A C Crispin,9,,,,,,,
9780441783298,Starbridge,A C Crispin,9,http://www.openisbn.com/cover/0441783295_72.jpg,,,,,,
9780899088235,Ethics Of World Religions (Opposing Viewpoints),A D Hunt,10,http://www.openisbn.com/cover/0899088236_72.jpg,,,,,,
9780030211218,McClane's Field Guide To Saltwater Fishes Of North America: A Project Of The Gamefish Research Association,A J McClane,11,http://www.openisbn.com/cover/0030211212_72.jpg,,,,,,
9781575664057,The Patient's Guide To Anesthesia: Making The Right Choices,A J Hill,12,http://www.openisbn.com/cover/1575664054_72.jpg,,,,,,
